index_id,"Toxicity to environmental bacteria (EPA Microtox test), -log10 of Conc.(mg/kg)",SMILES
1,6.343381019,ClC(Cl)(Cl)c1ccc(cc1)C#N
2,6.173821215,S=C=NCc1ccccc1
3,5.969273765,CCCCCCCCCCCCO
4,5.949960558,c1ccc2c(c1)ccc3ccccc32
5,5.766060708,ClCc1ccc(CCl)cc1
6,5.732779628,O=C1C=CC(=O)C=C1
7,5.716454108,O=C1C(=O)c2ccccc2c3ccccc13
8,5.714495732,COc1ccc(OC)c(c1)C(=O)CBr
9,5.637322918,C#[N+]c1ccc(cc1)[N+]#C
10,5.627881787,COc1ccc(cc1)N=Nc2ccccc2
11,5.620169034,FC(F)(F)c1ccc(cc1)C(=O)c2ccccc2
12,5.609832655,CCc1ccc(O)cc1
13,5.576500677,CN(C)c1ccc(cc1)N=Nc2ccccn2
14,5.566468133,c1ccc2c(c1)[s]c3ccccc32
15,5.530500653,Clc1ncc(cc1N(=O)=O)N(=O)=O
16,5.510941592,[H][n]1ccc2cc(ccc21)N(=O)=O
17,5.489595244,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
18,5.489367775,FC(F)(F)c1ccc(CC#N)cc1
19,5.447262161,Brc1ccc(CC#N)cc1
20,5.43977466,Oc1ccc(O)cc1
21,5.433674736,Oc1c(Br)c(Br)c(Br)c(Br)c1Br
22,5.425418051,Oc1c(Cl)cc(Cl)c2ccccc12
23,5.415496413,N#CCc1ccc(CC#N)cc1
24,5.265800168,CCCC(C)c1cccc(OC(=O)NC)c1
25,5.222372482,CN(C)c1ccc(cc1)N=O
26,5.215269378,CCCCCCCCCCCCN(C)C
27,5.211998634,N#Cc1ccc(cc1)c2ccccc2
28,5.193758873,CCc1cccc2ccccc12
29,5.18919638,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
30,5.177727962,CC(C#N)c1ccc(Cl)cc1
31,5.163618496,Cc1ccc(CC#N)cc1
32,5.159293919,O=N(=O)c1cccc2ccccc21
33,5.158599681,FC(F)(F)c1ccc(C#N)c(c1)N(=O)=O
34,5.119251175,Oc1ccc(Cc2ccccc2)cc1
35,5.08929738,Nc1ccc(Nc2ccccc2)cc1
36,5.0886587,COc1ccc(CC#N)cc1
37,5.085745332,CN(C)c1ccc(cc1)C#N
38,5.065224815,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O
39,5.059597838,Oc1ccc(S)cc1
40,5.055373834,O=N(=O)c1ccc(cc1N(=O)=O)C#N
41,5.030602613,CC(C)(C)c1ccc(O)cc1
42,5.014361838,Cc1ccc(N)cc1Br
43,5.008787474,Fc1cc(F)c(cc1N(=O)=O)N(=O)=O
44,5.006311979,c1cc2cccc3C=Cc(c1)c23
45,4.984060139,COc1ccc(CS)cc1
46,4.982792676,Oc1ccc2ccccc2c1
47,4.974148523,Oc1ccc(cc1)[n]2ccnc2
48,4.953030058,Oc1cc(Cl)c(Cl)c(Cl)c1
49,4.94255368,Nc1ccc(I)cc1
50,4.933915213,Nc1ccc(c(c1)C(F)(F)F)N(=O)=O
51,4.924758813,O=C(c1ccccc1)C(=O)c2ccccc2
52,4.917743142,Cc1ccc2ncc(C)cc2c1
53,4.900880331,COc1ccc2ncccc2c1
54,4.898872973,Oc1ccc2c(Cc3ccccc32)c1
55,4.897150389,ClC(Cl)(Cl)C(Cl)(Cl)Cl
56,4.883165701,O=N(=O)c1ccc(cc1)N(=O)=O
57,4.88136509,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
58,4.879657747,Clc1ccc(CC#N)cc1
59,4.87634086,Oc1ccc(Br)cc1
60,4.875320239,Cc1cc(O)ccc1Cl
61,4.856230741,Clc1cc(Cl)c(c(c1)N(=O)=O)N(=O)=O
62,4.849814675,Clc1cc(Cl)c(c(Cl)c1)N(=O)=O
63,4.818173703,Brc1ccc(I)cc1
64,4.814623455,ClC(Cl)C(Cl)(Cl)Cl
65,4.788832239,CC1=CC(=O)c2ccccc2C1=O
66,4.770865223,Oc1cc(cc(c1)C(F)(F)F)C(F)(F)F
67,4.769899938,CCc1ccc(cc1)N=C=O
68,4.762407916,Nc1ccc(Cl)c(Cl)c1
69,4.759466386,Sc1ccc(cc1)N(=O)=O
70,4.751495391,Clc1cc(c(cc1Cl)N(=O)=O)N(=O)=O
71,4.744764503,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(cn2)C(F)(F)F)cc1
72,4.733411282,Oc1ccc(Cl)c2ccccc12
73,4.727622578,NN
74,4.711019444,BrCCc1ccccc1
75,4.711004083,Clc1ccc(cc1)N=C=S
76,4.708972978,Oc1ccc2[o]c3ccccc3c2c1
77,4.707883011,COC(=O)c1ccc(cc1)C(F)(F)F
78,4.706093819,Oc1ccc(cc1)N=Nc2ccccc2
79,4.704670543,CC(=O)OC(OC(C)=O)c1ccc([o]1)N(=O)=O
80,4.702979811,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(Cl)c(Cl)c1
81,4.701759512,ClCc1ccc(Cl)cc1
82,4.678432679,[H][n]1ccc2c1cccc2N(=O)=O
83,4.67324478,Nc1cc(Cl)c(Cl)c(Cl)c1Cl
84,4.672054221,O=C=Nc1cccc2ccccc21
85,4.670312662,COc1ccc(I)cc1
86,4.669648442,COc1ccc(S)cc1
87,4.668969372,SCc1ccc(Cl)cc1
88,4.653507305,Oc1ccc(cc1)C(F)(F)F
89,4.652604783,N(Nc1ccccc1)c2ccccc2
90,4.646359375,Clc1ccc(CC#N)c(Cl)c1
91,4.64559669,Clc1ccc(cc1)C(=O)c2ccccc2
92,4.643998492,Nc1ccc(CC#N)cc1
93,4.632519956,O=C1C=Cc2cccc3cccc1c32
94,4.617518714,N#CSCc1ccccc1
95,4.609167374,CCc1ccc(C=O)cc1
96,4.588758264,Cc1cc(O)ccc1O
97,4.5836602,ClCc1cccc(Cl)c1
98,4.568084331,BrCc1ccc(cc1)C#N
99,4.564100311,Nc1c(Cl)c(Cl)cc(Cl)c1Cl
100,4.553715223,c1ccc2c(c1)[o]c3ccccc32
101,4.553040166,c1ccc(cc1)N=Nc2ccccc2
102,4.547613565,CCc1ccc(cc1)C(C)=O
103,4.530651408,Cc1ccc(O)cc1C
104,4.526690442,c1ccc(cc1)P(c2ccccc2)c3ccccc3
105,4.524398885,Cc1ccc2ncccc2c1C
106,4.521999517,Oc1ccc(Cl)c(Cl)c1
107,4.517301489,Oc1cc(Cl)c(Cl)cc1Cl
108,4.515686607,[O-][n+]1cccc2cc(ccc21)N(=O)=O
109,4.508820873,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
110,4.501650589,CN(C)c1ccc(C=O)cc1
111,4.493532918,Cc1cccc(c1)c2ccccc2
112,4.475107983,FC(F)(F)c1ccc(Cl)c(Cl)c1
113,4.45680262,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
114,4.453608343,C=C[n]1c2ccccc2c3ccccc31
115,4.450794578,Clc1cccc(c1Cl)N(=O)=O
116,4.450455566,Cc1ccc(O)c(O)c1
117,4.44988676,Cc1cc(N)ccc1N(=O)=O
118,4.447775428,Cc1ccc(cc1)c2ccccc2
119,4.447082626,ClC(=O)Oc1ccc(cc1)N(=O)=O
120,4.440351801,c1ccc(cc1)N(c2ccccc2)c3ccccc3
121,4.418365041,Clc1ccc(I)cc1
122,4.416855383,Clc1ccc(N=C=O)c(Cl)c1
123,4.413271816,Brc1ccccc1N(=O)=O
124,4.412740467,c1ccc(cc1)c2cccnc2
125,4.411058239,FC(F)(F)c1cc(c(Cl)c(c1)N(=O)=O)N(=O)=O
126,4.407324286,ClCc1ccc(cc1)C(Cl)=O
127,4.406990912,C[n]1c2ccccc2c3ccccc31
128,4.397156193,Cc1cnc2cccc(C)c2c1
129,4.396818381,Sc1ccc(Cl)cc1
130,4.376560788,Clc1ccc(cc1Cl)N=C=O
131,4.372128551,Sc1nc2ccccc2[s]1
132,4.369458262,Oc1ccc2ccccc2n1
133,4.369423424,Nc1ccc(cc1)N(=O)=O
134,4.365695931,O=COc1ccc(cc1)N(=O)=O
135,4.365660965,Fc1ccc(cc1)N=C=S
136,4.362249934,OCCc1ccc(O)cc1
137,4.359726678,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)N(=O)=O
138,4.357620027,CC[n+]1c2cc(N)ccc2c3ccc(N)cc3c1c4ccccc4
139,4.346062732,Oc1cc(Cl)cc(Cl)c1Cl
140,4.346062732,Oc1ccc(Cl)c(Cl)c1Cl
141,4.343892975,Nc1cc(Cl)c(Cl)cc1Cl
142,4.338152964,CNc1ccc(Cl)cc1
143,4.337277851,Clc1cc(c(Cl)c(Cl)c1Cl)N(=O)=O
144,4.336365721,Cc1cccc2ncccc12
145,4.330208041,CCCCCCCCC(C)O
146,4.324968702,Oc1ccc(c(c1)C(F)(F)F)N(=O)=O
147,4.313051274,Clc1ccc(Cl)c(Cl)c1Cl
148,4.312567629,Oc1ccc(cc1)C#N
149,4.311011749,Nc1ccc(Cl)c(Cl)c1Cl
150,4.308459388,c1ccc2ccccc2c1
151,4.303671145,Cc1ccc(Br)cc1
152,4.296507753,C(c1ccccc1)c2ccccc2
153,4.294266813,Clc1ccc(c(Cl)c1Cl)N(=O)=O
154,4.292985532,Cc1cc(O)ccc1N(=O)=O
155,4.288950403,C(c1ccccc1)c2cccnc2
156,4.286106393,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
157,4.28410115,Cc1ccc(N)cc1C
158,4.280361668,CCCCCCCCCCO
159,4.27741865,Cc1cc2cccnc2cc1C
160,4.268118406,COC(=O)c1ccc(C)cc1
161,4.263053463,C(Nc1ccccc1)c2ccccc2
162,4.259049789,Cc1ccc(cc1)S(Cl)(=O)=O
163,4.255378457,ClC(=O)c1ccc(I)cc1
164,4.252085352,COC(=O)c1ccc(OC)cc1
